G_OFF,MP_OFF,FG_OFF,FGA_OFF,FG%_OFF,3P_OFF,3PA_OFF,3P%_OFF,2P_OFF,2PA_OFF,2P%_OFF,FT_OFF,FTA_OFF,FT%_OFF,ORB_OFF,DRB_OFF,TRB_OFF,AST_OFF,STL_OFF,BLK_OFF,TOV_OFF,PF_OFF,PTS_OFF,G_DEF,MP_DEF,FG_DEF,FGA_DEF,FG%_DEF,3P_DEF,3PA_DEF,3P%_DEF,2P_DEF,2PA_DEF,2P%_DEF,FT_DEF,FTA_DEF,FT%_DEF,ORB_DEF,DRB_DEF,TRB_DEF,AST_DEF,STL_DEF,BLK_DEF,TOV_DEF,PF_DEF,PTS_DEF,WON_MORE_THAN_HALF,Eastern Conference
82,240.9,39.4,86.4,0.456,13.5,38.7,0.349,25.9,47.7,0.5429999999999999,17.5,24.5,0.713,9.6,32.4,42.0,23.6,7.3,4.7,16.5,20.6,109.7,82,240.9,43.4,89.9,0.483,12.8,36.2,0.353,30.7,53.8,0.57,18.5,23.7,0.782,11.2,34.5,45.7,25.6,9.5,5.8,14.1,22.1,118.2,0,0
82,242.4,41.4,89.5,0.463,12.2,35.4,0.344,29.3,54.1,0.541,16.4,21.4,0.768,11.3,32.6,43.9,25.4,7.1,5.6,14.4,20.4,111.5,82,242.4,42.5,88.0,0.483,12.0,32.3,0.3720000000000001,30.5,55.7,0.547,17.9,22.5,0.797,10.2,33.0,43.1,25.1,8.1,4.9,13.3,19.2,114.9,0,0
82,241.2,40.1,87.4,0.458,12.8,34.2,0.374,27.3,53.3,0.512,15.5,19.6,0.7929999999999999,9.1,34.9,44.0,24.0,7.4,5.0,13.7,18.6,108.4,82,241.2,40.8,90.6,0.45,11.7,33.9,0.345,29.1,56.7,0.513,15.2,19.6,0.775,12.0,35.1,47.1,24.1,7.7,4.1,13.6,18.5,108.4,1,0
82,243.7,41.6,88.8,0.469,12.0,34.5,0.34700000000000003,29.7,54.3,0.546,16.8,23.0,0.732,9.5,34.5,44.0,24.0,7.6,5.2,14.5,20.2,112.1,82,243.7,42.6,90.5,0.47,12.6,35.8,0.35200000000000004,30.0,54.7,0.5479999999999999,17.4,23.3,0.747,11.0,35.6,46.6,26.3,8.3,4.1,14.0,20.1,115.1,0,0
82,241.2,43.5,94.4,0.461,11.5,32.7,0.353,32.0,61.7,0.519,17.0,23.1,0.7340000000000001,14.1,35.0,49.2,26.0,9.8,6.5,13.2,19.8,115.6,82,241.2,40.3,88.6,0.455,12.0,34.5,0.349,28.3,54.2,0.522,17.3,22.4,0.7709999999999999,10.0,33.0,43.0,25.0,7.2,6.0,15.1,19.8,109.9,1,0
82,242.1,39.6,84.8,0.467,13.6,35.8,0.379,26.0,49.0,0.531,17.3,21.4,0.8079999999999999,9.8,33.9,43.7,25.5,7.4,3.2,14.6,20.5,110.0,82,242.1,37.5,84.0,0.447,13.0,38.3,0.339,24.6,45.7,0.537,17.5,22.5,0.779,9.5,32.1,41.7,23.3,7.4,4.0,15.0,20.6,105.6,1,1
82,240.9,41.8,89.4,0.468,14.1,38.4,0.366,27.8,51.0,0.544,17.8,22.9,0.7759999999999999,10.2,36.5,46.7,23.9,7.6,4.0,13.4,18.2,115.5,82,240.9,41.4,90.6,0.456,14.5,40.6,0.35600000000000004,26.9,50.0,0.537,15.0,19.9,0.7509999999999999,9.9,34.2,44.1,25.9,7.4,4.4,13.0,19.7,112.1,1,1
82,241.2,41.6,91.0,0.457,14.8,41.3,0.358,26.8,49.7,0.54,18.0,23.1,0.778,11.2,32.9,44.2,25.7,8.8,5.6,14.3,21.8,115.9,82,241.2,40.2,87.4,0.46,13.1,37.3,0.35,27.2,50.0,0.5429999999999999,19.8,25.4,0.78,11.0,34.9,45.9,26.2,7.2,4.8,16.3,20.9,113.3,1,0
82,240.9,40.2,88.0,0.457,10.6,32.1,0.332,29.5,55.9,0.528,18.3,23.2,0.789,12.0,33.2,45.2,25.0,8.3,4.0,14.1,19.7,109.3,82,240.9,40.3,85.5,0.471,13.0,35.5,0.365,27.3,50.0,0.546,16.8,21.4,0.7859999999999999,9.3,32.5,41.8,24.9,7.4,4.8,14.2,20.5,110.3,0,0
82,241.2,37.7,86.2,0.4370000000000001,13.2,36.9,0.35700000000000004,24.5,49.3,0.4970000000000001,18.0,24.1,0.7440000000000001,11.5,34.6,46.1,21.9,7.0,4.9,13.3,20.4,106.5,82,241.2,38.5,86.0,0.447,12.7,37.0,0.342,25.8,49.0,0.527,17.0,22.3,0.764,9.3,34.3,43.6,24.2,7.0,4.6,12.7,20.4,106.6,0,1
82,241.5,38.3,89.1,0.43,12.1,37.4,0.32299999999999995,26.2,51.8,0.507,15.0,19.9,0.7559999999999999,10.4,35.2,45.6,22.2,7.6,4.6,14.0,18.3,103.7,82,241.5,41.4,90.5,0.458,13.6,38.7,0.353,27.8,51.8,0.536,15.3,19.9,0.7709999999999999,11.0,37.3,48.4,26.1,8.5,6.0,13.2,17.8,111.8,0,0
82,241.2,38.3,88.3,0.434,12.2,36.9,0.331,26.1,51.4,0.507,15.5,19.7,0.787,9.1,35.2,44.3,23.7,6.8,4.5,14.5,19.7,104.2,82,241.2,40.8,89.0,0.458,13.2,36.3,0.363,27.6,52.7,0.524,17.4,22.6,0.772,10.4,36.8,47.1,24.8,8.0,5.2,13.2,18.3,112.2,0,0
82,241.5,39.4,84.5,0.466,11.6,31.8,0.364,27.8,52.7,0.527,19.6,23.8,0.821,8.5,33.8,42.3,23.7,7.7,5.3,12.5,19.4,109.9,82,241.5,39.7,86.5,0.458,11.4,32.8,0.34600000000000003,28.3,53.7,0.527,16.6,21.6,0.769,10.2,34.0,44.2,23.6,6.6,4.6,13.3,19.4,107.3,1,1
82,240.6,43.7,90.1,0.485,11.6,31.9,0.364,32.1,58.2,0.551,15.9,19.9,0.797,9.8,35.5,45.3,27.4,8.6,4.4,12.9,19.9,114.8,82,240.6,39.2,88.3,0.444,11.6,34.2,0.34,27.6,54.1,0.51,17.3,22.7,0.7609999999999999,10.5,33.9,44.5,22.9,7.5,4.0,14.7,18.9,107.3,1,0
82,240.6,38.5,87.1,0.442,12.7,36.8,0.34600000000000003,25.8,50.3,0.513,16.4,21.6,0.76,10.4,32.5,42.9,22.9,8.0,4.5,14.5,21.1,106.2,82,240.6,41.1,85.9,0.479,13.8,37.1,0.371,27.4,48.8,0.561,19.1,24.6,0.777,9.8,35.0,44.7,26.6,8.2,5.0,14.0,19.4,115.1,0,0
82,241.5,40.5,88.1,0.46,11.4,33.2,0.344,29.1,54.9,0.53,17.9,23.3,0.768,9.6,33.4,42.9,23.7,7.2,4.5,14.1,18.9,110.3,82,241.5,43.4,90.6,0.479,13.0,34.9,0.3720000000000001,30.4,55.7,0.547,15.9,20.5,0.7759999999999999,10.6,35.3,45.8,25.3,8.1,4.8,13.5,20.3,115.8,0,0
82,241.5,43.2,92.7,0.467,11.3,32.0,0.35200000000000004,32.0,60.7,0.527,15.4,20.4,0.754,11.0,34.3,45.3,27.9,7.6,4.9,12.7,18.1,113.2,82,241.5,42.5,91.2,0.466,12.1,33.6,0.36,30.4,57.5,0.528,16.0,20.9,0.767,11.4,35.4,46.8,24.0,7.3,4.9,13.8,18.9,113.0,0,0
82,242.1,40.6,91.3,0.445,11.9,34.2,0.349,28.7,57.1,0.503,16.2,21.3,0.759,13.4,32.0,45.3,22.1,9.0,4.6,12.5,19.6,109.4,82,242.1,39.0,84.4,0.462,12.4,34.9,0.354,26.6,49.5,0.5379999999999999,16.8,21.2,0.789,10.3,33.7,44.0,25.3,6.7,5.1,15.8,19.1,107.1,1,1
82,240.6,40.6,86.2,0.471,14.5,40.3,0.36,26.0,45.8,0.568,17.9,23.4,0.767,10.8,35.6,46.3,22.4,7.2,4.9,14.0,18.9,113.6,82,240.6,40.4,89.2,0.453,12.1,34.6,0.35,28.3,54.6,0.518,14.6,19.3,0.758,9.9,31.7,41.6,23.4,7.8,4.3,12.0,20.3,107.6,1,0
82,241.8,40.6,86.0,0.472,10.5,30.6,0.342,30.1,55.4,0.5429999999999999,17.0,21.7,0.7829999999999999,9.0,34.1,43.1,25.0,6.4,5.0,13.1,18.8,108.6,82,241.8,41.3,88.9,0.464,11.5,31.8,0.361,29.8,57.1,0.522,18.0,22.3,0.807,10.2,34.0,44.2,23.7,7.3,4.2,11.9,19.9,112.0,0,1
